7828,None,Criminal Division; ,12-1213; 
7829,None,Criminal Division; ,12-1211; 
7830,None,Criminal Division; ,12-1212; 
7831,None,Civil Rights Division; Civil Rights - Employment Litigation Section; ,12-1210; 
7832,None,Civil Rights Division; ,12-1209; 
7833,Consumer Protection; ,Civil Division; ,12-1208; 
7834,None,Criminal Division; ,12-1207; 
7835,Consumer Protection; ,Civil Division; ,12-1206; 
7836,None,Office of the Attorney General; ,12-1205; 
7837,None,Environment and Natural Resources Division; ,12-1203; 
7838,None,Civil Rights Division; ,12-1201; 
7839,None,Criminal Division; ,12-1200; 
7840,None,Criminal Division; ,12-1199; 
7841,Intellectual Property; ,Office of the Attorney General; ,12-1198; 
7842,None,Civil Rights Division; Civil Rights - Educational Opportunities Section; ,12-1190; 
7843,StopFraud; ,Office of Public Affairs; ,12-1196; 
7844,None,Civil Division; ,12-1195; 
7845,None,Tax Division; ,12-1191; 
7846,Indian Country Law and Justice; ,Office on Violence Against Women; ,12-1192; 
7847,None,Environment and Natural Resources Division; ,12-1188; 
7848,None,Criminal Division; ,12-1187; 
7849,None,Environment and Natural Resources Division; ,12-1186; 
7850,None,Office of the Attorney General; ,12-1185; 
7851,None,Civil Rights Division; Civil Rights - Educational Opportunities Section; ,12-1184; 
7852,None,Environment and Natural Resources Division; ,12-1782; 
7853,None,Civil Division; ,12-1781; 
7854,Consumer Protection; StopFraud; ,Office of the Attorney General; ,12-1780; 
7855,None,Criminal Division; ,12-1778; 
7856,None,Criminal Division; ,12-1778; 
7857,None,Criminal Division; ,12-1777; 
7858,None,Civil Division; ,12-1774; 
7859,None,Criminal Division; ,12-1172; 
7860,None,Tax Division; ,12-1173; 
7861,None,Criminal Division; ,12-1171; 
7862,None,Civil Rights Division; ,12-1169; 
7863,None,Environment and Natural Resources Division; ,12-1167; 
7864,None,Civil Division; ,12-1168; 
7865,None,Environment and Natural Resources Division; ,12-1166; 
7866,Indian Country Law and Justice; ,Office of Tribal Justice; ,12-1165; 
7867,None,Antitrust Division; ,12-1164; 
7868,None,Office of the Attorney General; ,12-1162; 
7869,None,Criminal Division; ,12-1159; 
7870,None,Antitrust Division; ,12-1161; 
7871,None,Antitrust Division; ,12-1158; 
7872,None,Antitrust Division; ,12-1157; 
7873,None,Civil Rights Division; Civil Rights - Housing and Civil Enforcement Section; ,12-1156; 
7874,None,Office of the Attorney General; ,12-1155; 
7875,None,Antitrust Division; ,12-1152; 
7876,None,Civil Rights Division; ,12-1150; 
7877,None,Criminal Division; ,12-1149; 
7878,None,Tax Division; ,12-1147; 
7879,None,Civil Division; ,12-1144; 
7880,None,Environment and Natural Resources Division; ,12-1143; 
7881,None,Criminal Division; ,12-1142; 
7882,Hate Crimes; ,Civil Rights Division; ,12-1141; 
7883,None,Antitrust Division; ,12-1140; 
7884,None,Civil Rights Division; ,12-1139; 
7885,None,Criminal Division; ,12-1138; 
7886,None,Civil Division; ,12-1133; 
7887,None,Tax Division; ,12-1136; 
7888,None,Office of the Attorney General; ,12-1135; 
7889,None,Office of the Attorney General; ,12-1134; 
7890,None,Civil Rights Division; Civil Rights - Employment Litigation Section; ,12-1132; 
7891,None,Antitrust Division; ,12-1131; 
7892,None,Criminal Division; ,12-1129; 
7893,None,Tax Division; ,12-1127; 
7894,None,Tax Division; ,12-1126; 
7895,None,Civil Rights Division; ,12-1125; 
7896,None,Criminal Division; ,12-1124; 
7897,None,Criminal Division; ,12-1123; 
7898,None,Criminal Division; ,12-1121; 
7899,None,Tax Division; ,12-1122; 
7900,None,Environment and Natural Resources Division; ,12-1120; 
7901,None,Tax Division; ,12-1119; 
7902,None,Tax Division; ,12-1118; 
7903,None,Civil Rights Division; Civil Rights - Housing and Civil Enforcement Section; ,12-1116; 
7904,None,Criminal Division; ,12-1117; 
7905,None,Civil Rights Division; Civil Rights - Disability Rights Section; ,12-1114; 
7906,None,Criminal Division; ,12-1113; 
7907,None,Civil Rights Division; ,12-1111; 
7908,None,Civil Rights Division; Civil Rights - Disability Rights Section; ,12-1110; 
7909,None,Criminal Division; ,12-1112; 
7910,None,Office of the Attorney General; ,12-1109; 
7911,Consumer Protection; ,Civil Division; ,12-1106; 
7912,None,Civil Rights Division; Civil Rights - Disability Rights Section; ,12-1103; 
7913,StopFraud; ,Civil Rights Division; Civil Rights - Housing and Civil Enforcement Section; ,12-1104; 
7914,None,Criminal Division; ,12-1105; 
7915,None,Civil Rights Division; Civil Rights - Disability Rights Section; ,12-1102; 
7916,None,Civil Rights Division; ,12-1101; 
7917,None,Tax Division; ,12-1100; 
7918,None,Tax Division; ,12-1099; 
7919,None,Tax Division; ,12-1098; 
7920,None,Criminal Division; ,12-1097; 
7921,None,Civil Rights Division; ,12-1096; 
7922,None,Civil Rights Division; Civil Rights - Housing and Civil Enforcement Section; ,12-1095; 
7923,None,Civil Rights Division; Civil Rights - Housing and Civil Enforcement Section; ,12-1092; 
7924,None,Tax Division; ,12-1091; 
7925,None,Office of Public Affairs; ,12-1090; 
7926,None,Tax Division; ,12-1089; 
7927,None,Environment and Natural Resources Division; ,12-1088; 
7928,None,Criminal Division; ,12-1087; 
7929,None,Criminal Division; ,12-1085; 
